name,company_number,jurisdiction_code,incorporation_date,dissolution_date,company_type,registry_url,branch,branch_status,inactive,current_status,created_at,updated_at,retrieved_at,opencorporates_url,previous_names,alternative_names,source,registered_address,registered_address_in_full,industry_codes,restricted_for_marketing,native_company_number
05 COATINGS LLC,13964051-0160,us_ut,2024-04-30,,LLC - Domestic,https://secure.utah.gov/bes/index.html,,,FALSE,Active   Current,2024-06-19T18:58:53+00:00,2024-07-31T21:56:50+00:00,2024-07-01T00:00:00+00:00,https://opencorporates.com/companies/us_ut/13964051-0160,[],[],"{'publisher': 'Utah Department of Commerce', 'url': 'https://secure.utah.gov/bes/index.html', 'retrieved_at': '2024-07-01T00:00:00+00:00'}","{'street_address': '11676 GRANITE FLATS RD', 'locality': 'Highland', 'region': 'UT', 'postal_code': '84003', 'country': 'United States'}","11676 GRANITE FLATS RD, Highland, UT, 84003","[{'industry_code': {'code': '9999', 'description': None, 'code_scheme_id': 'us_naics_2007', 'code_scheme_name': 'North American Industry Classification System 2007', 'uid': 'us_naics_2007-9999'}}, {'industry_code': {'code': '99', 'description': 'Activities of extraterritorial organizations and bodies', 'code_scheme_id': 'isic_4', 'code_scheme_name': 'UN ISIC Rev 4', 'uid': 'isic_4-99'}}]",,
0X40 LLC,13932872-0160,us_ut,2024-04-12,,LLC - Domestic,https://secure.utah.gov/bes/index.html,,,FALSE,Active   Current,2024-06-19T18:49:23+00:00,2024-06-19T18:49:24+00:00,2024-06-01T00:00:00+00:00,https://opencorporates.com/companies/us_ut/13932872-0160,[],[],"{'publisher': 'Utah Department of Commerce', 'url': 'https://secure.utah.gov/bes/index.html', 'retrieved_at': '2024-06-01T00:00:00+00:00'}","{'street_address': '7533 S CENTER VIEW CT STE R', 'locality': 'West Jordan', 'region': 'UT', 'postal_code': '84084', 'country': 'United States'}","7533 S CENTER VIEW CT STE R, West Jordan, UT, 84084","[{'industry_code': {'code': '9999', 'description': None, 'code_scheme_id': 'us_naics_2007', 'code_scheme_name': 'North American Industry Classification System 2007', 'uid': 'us_naics_2007-9999'}}, {'industry_code': {'code': '99', 'description': 'Activities of extraterritorial organizations and bodies', 'code_scheme_id': 'isic_4', 'code_scheme_name': 'UN ISIC Rev 4', 'uid': 'isic_4-99'}}]",,
10 STRAPS LLC,13853276-0160,us_ut,2024-02-27,,LLC - Domestic,https://secure.utah.gov/bes/index.html,,,FALSE,Active   Current,2024-04-08T19:24:15+00:00,2024-04-08T19:24:17+00:00,2024-04-01T00:00:00+00:00,https://opencorporates.com/companies/us_ut/13853276-0160,[],[],"{'publisher': 'Utah Department of Commerce', 'url': 'https://secure.utah.gov/bes/index.html', 'retrieved_at': '2024-04-01T00:00:00+00:00'}","{'street_address': '5521 W STONE BLUFF WAY', 'locality': 'Salt Lake City', 'region': 'UT', 'postal_code': '84118', 'country': 'United States'}","5521 W STONE BLUFF WAY, Salt Lake City, UT, 84118","[{'industry_code': {'code': '9999', 'description': None, 'code_scheme_id': 'us_naics_2007', 'code_scheme_name': 'North American Industry Classification System 2007', 'uid': 'us_naics_2007-9999'}}, {'industry_code': {'code': '99', 'description': 'Activities of extraterritorial organizations and bodies', 'code_scheme_id': 'isic_4', 'code_scheme_name': 'UN ISIC Rev 4', 'uid': 'isic_4-99'}}]",,
10-4 GRADING CO,13790754-0142,us_ut,2024-01-22,,Corporation - Domestic - Profit,https://secure.utah.gov/bes/index.html,,,FALSE,Active   Current,2024-06-19T18:39:20+00:00,2024-06-19T18:39:21+00:00,2024-06-01T00:00:00+00:00,https://opencorporates.com/companies/us_ut/13790754-0142,[],[],"{'publisher': 'Utah Department of Commerce', 'url': 'https://secure.utah.gov/bes/index.html', 'retrieved_at': '2024-06-01T00:00:00+00:00'}","{'street_address': '210 n mall drive #39', 'locality': 'st george', 'region': 'UT', 'postal_code': '84790', 'country': 'United States'}","210 n mall drive #39, st george, UT, 84790","[{'industry_code': {'code': '9999', 'description': None, 'code_scheme_id': 'us_naics_2007', 'code_scheme_name': 'North American Industry Classification System 2007', 'uid': 'us_naics_2007-9999'}}, {'industry_code': {'code': '99', 'description': 'Activities of extraterritorial organizations and bodies', 'code_scheme_id': 'isic_4', 'code_scheme_name': 'UN ISIC Rev 4', 'uid': 'isic_4-99'}}]",,
"1002 CASITAS HILL, LLC",13968364-0160,us_ut,2024-05-01,,LLC - Domestic,https://secure.utah.gov/bes/index.html,,,FALSE,Active   Current,2024-06-19T18:59:54+00:00,2024-07-31T21:58:12+00:00,2024-07-01T00:00:00+00:00,https://opencorporates.com/companies/us_ut/13968364-0160,[],[],"{'publisher': 'Utah Department of Commerce', 'url': 'https://secure.utah.gov/bes/index.html', 'retrieved_at': '2024-07-01T00:00:00+00:00'}","{'street_address': '1162 W ANNIKA CIR', 'locality': 'South Jordan', 'region': 'UT', 'postal_code': '84095', 'country': 'United States'}","1162 W ANNIKA CIR, South Jordan, UT, 84095","[{'industry_code': {'code': '9999', 'description': None, 'code_scheme_id': 'us_naics_2007', 'code_scheme_name': 'North American Industry Classification System 2007', 'uid': 'us_naics_2007-9999'}}, {'industry_code': {'code': '99', 'description': 'Activities of extraterritorial organizations and bodies', 'code_scheme_id': 'isic_4', 'code_scheme_name': 'UN ISIC Rev 4', 'uid': 'isic_4-99'}}]",,
"1003 AZRE HOLDINGS, LLC",13881949-0160,us_ut,2024-03-14,,LLC - Domestic,https://secure.utah.gov/bes/index.html,,,FALSE,Active   Current,2024-05-09T21:21:15+00:00,2024-05-09T21:21:16+00:00,2024-05-01T00:00:00+00:00,https://opencorporates.com/companies/us_ut/13881949-0160,[],[],"{'publisher': 'Utah Department of Commerce', 'url': 'https://secure.utah.gov/bes/index.html', 'retrieved_at': '2024-05-01T00:00:00+00:00'}","{'street_address': '5775 MOUNTAIN RANCH DR', 'locality': 'Park City', 'region': 'UT', 'postal_code': '84098', 'country': 'United States'}","5775 MOUNTAIN RANCH DR, Park City, UT, 84098","[{'industry_code': {'code': '9999', 'description': None, 'code_scheme_id': 'us_naics_2007', 'code_scheme_name': 'North American Industry Classification System 2007', 'uid': 'us_naics_2007-9999'}}, {'industry_code': {'code': '99', 'description': 'Activities of extraterritorial organizations and bodies', 'code_scheme_id': 'isic_4', 'code_scheme_name': 'UN ISIC Rev 4', 'uid': 'isic_4-99'}}]",,
1010DATA SERVICES LLC,13922266-0161,us_ut,2024-04-04,,LLC - Foreign,https://secure.utah.gov/bes/index.html,,,FALSE,Active   Current,2024-06-19T18:45:58+00:00,2024-06-19T18:45:58+00:00,2024-06-01T00:00:00+00:00,https://opencorporates.com/companies/us_ut/13922266-0161,[],[],"{'publisher': 'Utah Department of Commerce', 'url': 'https://secure.utah.gov/bes/index.html', 'retrieved_at': '2024-06-01T00:00:00+00:00'}","{'street_address': '3300 HILLVIEW AVE', 'locality': 'Palo Alto', 'region': 'CA', 'postal_code': '94304', 'country': 'United States'}","3300 HILLVIEW AVE, Palo Alto, CA, 94304","[{'industry_code': {'code': '9999', 'description': None, 'code_scheme_id': 'us_naics_2007', 'code_scheme_name': 'North American Industry Classification System 2007', 'uid': 'us_naics_2007-9999'}}, {'industry_code': {'code': '99', 'description': 'Activities of extraterritorial organizations and bodies', 'code_scheme_id': 'isic_4', 'code_scheme_name': 'UN ISIC Rev 4', 'uid': 'isic_4-99'}}]",,
"1011 WEST NORTH TEMPLE, LLC",13865504-0160,us_ut,2024-03-05,,LLC - Domestic,https://secure.utah.gov/bes/index.html,,,FALSE,Active   Current,2024-05-09T21:13:56+00:00,2024-05-09T21:13:56+00:00,2024-05-01T00:00:00+00:00,https://opencorporates.com/companies/us_ut/13865504-0160,[],[],"{'publisher': 'Utah Department of Commerce', 'url': 'https://secure.utah.gov/bes/index.html', 'retrieved_at': '2024-05-01T00:00:00+00:00'}","{'street_address': '466 S 400 E, SUITE 200', 'locality': 'Salt Lake City', 'region': 'UT', 'postal_code': '84111', 'country': 'United States'}","466 S 400 E, SUITE 200, Salt Lake City, UT, 84111","[{'industry_code': {'code': '9999', 'description': None, 'code_scheme_id': 'us_naics_2007', 'code_scheme_name': 'North American Industry Classification System 2007', 'uid': 'us_naics_2007-9999'}}, {'industry_code': {'code': '99', 'description': 'Activities of extraterritorial organizations and bodies', 'code_scheme_id': 'isic_4', 'code_scheme_name': 'UN ISIC Rev 4', 'uid': 'isic_4-99'}}]",,
"10125 NORTH RIVERSIDE LANE, LLC",14018765-0160,us_ut,2024-05-30,,LLC - Domestic,https://secure.utah.gov/bes/index.html,,,FALSE,Active   Current,2024-07-31T22:12:57+00:00,2024-07-31T22:12:58+00:00,2024-07-01T00:00:00+00:00,https://opencorporates.com/companies/us_ut/14018765-0160,[],[],"{'publisher': 'Utah Department of Commerce', 'url': 'https://secure.utah.gov/bes/index.html', 'retrieved_at': '2024-07-01T00:00:00+00:00'}","{'street_address': '10277 N RIVERSIDE LN', 'locality': 'American Fork', 'region': 'UT', 'postal_code': '84003', 'country': 'United States'}","10277 N RIVERSIDE LN, American Fork, UT, 84003","[{'industry_code': {'code': '9999', 'description': None, 'code_scheme_id': 'us_naics_2007', 'code_scheme_name': 'North American Industry Classification System 2007', 'uid': 'us_naics_2007-9999'}}, {'industry_code': {'code': '99', 'description': 'Activities of extraterritorial organizations and bodies', 'code_scheme_id': 'isic_4', 'code_scheme_name': 'UN ISIC Rev 4', 'uid': 'isic_4-99'}}]",,
"10241 ROYAL DRIVE INDUSTRIES, LLC",13931052-0160,us_ut,2024-04-11,,LLC - Domestic,https://secure.utah.gov/bes/index.html,,,FALSE,Active   Current,2024-06-19T18:48:47+00:00,2024-06-19T18:48:48+00:00,2024-06-01T00:00:00+00:00,https://opencorporates.com/companies/us_ut/13931052-0160,[],[],"{'publisher': 'Utah Department of Commerce', 'url': 'https://secure.utah.gov/bes/index.html', 'retrieved_at': '2024-06-01T00:00:00+00:00'}","{'street_address': '1991 POWERS FERRY RD SE APT B', 'locality': 'Marietta', 'region': 'GA', 'postal_code': '30067', 'country': 'United States'}","1991 POWERS FERRY RD SE APT B, Marietta, GA, 30067","[{'industry_code': {'code': '9999', 'description': None, 'code_scheme_id': 'us_naics_2007', 'code_scheme_name': 'North American Industry Classification System 2007', 'uid': 'us_naics_2007-9999'}}, {'industry_code': {'code': '99', 'description': 'Activities of extraterritorial organizations and bodies', 'code_scheme_id': 'isic_4', 'code_scheme_name': 'UN ISIC Rev 4', 'uid': 'isic_4-99'}}]",,
