,name,company_number,jurisdiction_code,incorporation_date,dissolution_date,company_type,registry_url,branch,branch_status,inactive,current_status,created_at,updated_at,retrieved_at,opencorporates_url,previous_names,alternative_names,source,registered_address,registered_address_in_full,industry_codes,restricted_for_marketing,native_company_number
0,""" MROCK LLC """,001-147-931,us_al,2024-08-02,,Domestic Limited Liability Company,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=001147931,,,False,Exists,2024-08-05T04:45:48+00:00,2024-08-05T04:45:48+00:00,2024-08-04T08:03:34+00:00,https://opencorporates.com/companies/us_al/001-147-931,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=001147931', 'retrieved_at': '2024-08-04T08:03:34+00:00'}",,,[],,
1,""" OVER THE TOPP "" INC",000-378-441,us_al,2016-12-19,,Domestic Corporation,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000378441,,,False,Exists,2016-12-26T07:50:28+00:00,2024-06-13T22:27:44+00:00,2024-06-13T12:23:40+00:00,https://opencorporates.com/companies/us_al/000-378-441,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000378441', 'retrieved_at': '2024-06-13T12:23:40+00:00'}",,,[],,
2,"""1856"" Historical Preservation Society",000-813-476,us_al,1972-08-08,1993-09-27,Domestic Non-Profit Corporation,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000813476,,,True,Dissolved,2015-06-11T14:20:58+00:00,2024-08-20T02:47:07+00:00,2024-08-19T17:56:27+00:00,https://opencorporates.com/companies/us_al/000-813-476,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000813476', 'retrieved_at': '2024-08-19T17:56:27+00:00'}",,,[],,
3,"""2"", Inc.",000-167-715,us_al,1994-11-04,2006-08-02,Domestic Corporation,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000167715,,,True,Dissolved,2014-08-30T22:12:40+00:00,2024-05-13T05:33:39+00:00,2024-05-12T13:03:02+00:00,https://opencorporates.com/companies/us_al/000-167-715,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000167715', 'retrieved_at': '2024-05-12T13:03:02+00:00'}",,,[],,
4,"""2nd"" Chance, Inc.",000-065-610,us_al,1987-06-25,,Domestic Non-Profit Corporation,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000065610,,,False,Exists,2021-01-29T11:15:35+00:00,2024-04-29T05:27:39+00:00,2024-04-28T17:49:12+00:00,https://opencorporates.com/companies/us_al/000-065-610,"[{'company_name': 'NEW BEGINNINGS, Inc.', 'end_date': '1987-12-02'}]",[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000065610', 'retrieved_at': '2024-04-28T17:49:12+00:00'}",,,[],,
6,"""3 PPP Auto Parts & Warehouse Inc.",000-789-063,us_al,1966-08-10,1974-08-02,Domestic Corporation,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000789063,,,True,Dissolved,2021-01-29T19:12:39+00:00,2024-08-18T03:58:20+00:00,2024-08-17T15:00:54+00:00,https://opencorporates.com/companies/us_al/000-789-063,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000789063', 'retrieved_at': '2024-08-17T15:00:54+00:00'}",,,[],,
7,"""3"" MENTORS, INC.",000-369-249,us_al,2016-08-15,,Foreign Corporation,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000369249,F,branch of an out-of-jurisdiction company,True,Merged,2016-08-17T23:56:08+00:00,2024-06-12T21:17:40+00:00,2024-06-12T13:24:53+00:00,https://opencorporates.com/companies/us_al/000-369-249,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000369249', 'retrieved_at': '2024-06-12T13:24:53+00:00'}",,,[],,
8,"""3-6-4"" Club",000-789-268,us_al,1977-03-29,,Domestic Non-Profit Corporation,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000789268,,,False,Exists,2021-01-29T19:16:06+00:00,2024-08-18T03:49:40+00:00,2024-08-17T15:12:20+00:00,https://opencorporates.com/companies/us_al/000-789-268,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000789268', 'retrieved_at': '2024-08-17T15:12:20+00:00'}",,,[],,
9,"""447, LLC""",000-482-923,us_al,2006-08-17,,Domestic Limited Liability Company,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000482923,,,False,Exists,2015-06-20T23:26:58+00:00,2024-06-30T06:10:20+00:00,2024-06-29T12:00:31+00:00,https://opencorporates.com/companies/us_al/000-482-923,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000482923', 'retrieved_at': '2024-06-29T12:00:31+00:00'}",,,[],,
10,"""4D Automation, Inc.""",000-130-947,us_al,1989-05-18,,Domestic Corporation,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000130947,,,False,Exists,2014-08-30T21:15:46+00:00,2024-05-08T04:04:50+00:00,2024-05-07T08:43:06+00:00,https://opencorporates.com/companies/us_al/000-130-947,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000130947', 'retrieved_at': '2024-05-07T08:43:06+00:00'}",,,[],,
